1202,1452,1148,907,3881,1450,147,4299,1730,4211,2255,1111,32,53,344,91
1,0,2,3,5,2,0,3,1,1,0,0,0,0,0,0
2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,3,2,3,1,0,0,0,0,0,0,0,0,0,0
15,27,24,9,24,4,0,5,2,1,0,0,0,0,0,0
61,81,80,59,170,41,3,46,8,10,1,1,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
17,47,32,28,91,21,1,14,3,5,3,1,0,0,0,0
3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154,128,126,313,430,229,42,2745,3775,29943,22100,6739,78,90,671,102
72,84,83,71,181,34,4,40,11,23,2,1,0,0,0,0
1,3,3,1,9,1,0,0,0,0,0,0,0,0,0,0
5,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,8,1,0,0,0,0,0,0,0,0,0,0
11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,3,1,5,2,0,0,0,0,0,0,0,0,0,0
8,8,18,10,54,15,0,5,4,3,1,0,0,0,0,0
3,11,7,11,26,4,1,2,1,1,0,0,0,0,0,0
10,9,10,0,4,1,0,3,1,1,0,0,0,0,0,0
26,28,34,20,54,9,2,6,1,1,0,0,0,0,0,0
114,149,138,103,331,74,6,54,20,27,10,2,0,0,0,0
3,4,6,3,8,2,0,0,0,0,0,0,0,0,0,0
38,35,53,27,146,40,4,80,27,243,117,36,0,0,0,0
66,93,75,47,117,24,2,40,7,4,3,1,0,0,0,0
0,0,1,1,4,0,1,4,5,5,1,1,0,0,0,0
3,6,10,0,12,1,0,0,0,0,0,0,0,0,0,0
3,2,3,2,0,3,1,1,0,0,0,0,0,0,0,0
0,2,3,2,4,1,0,0,0,0,0,0,0,0,0,0
139,226,233,148,408,86,3,78,23,17,6,1,0,0,0,0
27,27,23,24,62,10,0,7,2,1,0,0,0,0,0,0
1,3,6,0,10,1,0,0,0,0,0,0,0,0,0,0
3,1,1,5,2,1,0,0,0,0,0,0,0,0,0,0
11,13,2,1,1,1,0,0,0,0,0,0,0,0,0,0
5,20,31,40,283,147,20,574,281,916,756,558,26,41,553,113
16,15,8,6,10,1,0,0,0,0,0,0,0,0,0,0
4,2,6,5,9,1,0,0,0,0,0,0,0,0,0,0
119,178,192,149,379,61,8,82,17,21,3,2,0,0,0,0
6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,29,33,17,57,11,1,11,1,3,1,1,0,0,0,0
11,8,5,3,6,1,0,0,0,0,0,0,0,0,0,0
79,95,97,44,185,32,1,54,8,9,5,1,0,0,0,0
4,3,4,3,7,1,0,0,0,0,0,0,0,0,0,0
4,6,2,0,4,1,0,0,0,0,0,0,0,0,0,0
27,69,89,139,732,341,44,1038,410,741,181,38,0,0,0,0
47,61,102,149,654,294,37,1077,838,5898,5181,2835,61,59,676,125
4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0
12,20,13,7,30,3,1,7,2,1,0,0,0,0,0,0
2,1,4,1,13,1,0,0,0,0,0,0,0,0,0,0
17,13,5,4,5,1,0,0,0,0,0,0,0,0,0,0
2,2,2,2,13,1,0,0,0,0,0,0,0,0,0,0
40,49,52,56,129,36,2,52,14,15,1,1,0,0,0,0
2,10,1,3,4,1,0,0,0,0,0,0,0,0,0,0
1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0
2,3,4,1,4,0,1,2,1,1,0,0,0,0,0,0
80,96,93,64,220,42,2,47,3,11,2,1,0,0,0,0
1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,21,0,0,26,0,0,0,0,0,0,0,0
17,13,12,7,23,6,1,15,2,5,3,1,0,0,0,0
3,5,12,8,29,8,0,15,2,9,1,0,0,0,0,0
7,5,3,1,8,1,0,0,0,0,0,0,0,0,0,0
138,160,157,76,268,67,4,67,11,20,3,1,0,0,0,0
53,108,223,336,1893,766,79,2076,830,1082,223,40,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,120,195,256,1326,547,51,1701,822,4055,3790,2375,57,73,615,126
3,2,0,2,4,1,0,0,0,0,0,0,0,0,0,0
1,3,4,3,7,1,0,0,0,0,0,0,0,0,0,0
2,3,2,2,4,2,1,0,0,0,0,0,0,0,0,0
2,6,2,1,6,1,0,0,0,0,0,0,0,0,0,0
2,8,8,1,10,2,1,0,0,0,0,0,0,0,0,0
67,108,112,78,215,38,3,36,9,16,1,0,0,0,0,0
120,149,136,105,296,50,4,56,13,20,1,1,0,0,0,0
38,132,236,308,1544,673,64,2248,812,1161,208,40,0,0,0,0
55,113,253,312,1766,810,93,2729,1070,1541,236,42,0,0,0,0
6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11,17,8,24,5,1,4,1,1,0,0,0,0,0,0
0,5,6,0,10,1,0,0,0,0,0,0,0,0,0,0
67,95,81,45,150,28,2,35,11,10,1,1,0,0,0,0
8,11,7,3,9,1,0,0,0,0,0,0,0,0,0,0
2,3,1,2,4,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,2,0,0,0,0,0,0,0,10,7,8,1
84,113,136,76,266,51,2,41,5,11,2,1,0,0,0,0
17,35,18,19,121,64,11,158,65,78,10,1,0,0,0,0
1,6,5,4,25,14,1,27,18,18,4,1,0,0,0,0
5,3,11,4,7,1,0,0,0,0,0,0,0,0,0,0
22,28,26,10,54,10,0,11,1,1,0,0,0,0,0,0
1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,0,0,0,0,0,0,0,0,0,0,0,1,3,1
35,69,46,34,99,16,2,18,4,9,1,1,0,0,0,0
3,4,5,0,5,1,0,0,0,0,0,0,0,0,0,0
0,3,3,1,5,1,0,0,0,0,0,0,0,0,0,0
29,19,14,3,9,2,0,0,0,0,0,0,0,0,0,0
3,9,4,2,5,1,0,0,0,0,0,0,0,0,0,0
21,48,44,31,87,22,1,25,4,7,1,1,0,0,0,0
4,13,10,3,31,7,0,7,2,1,0,0,0,0,0,0
3,10,2,2,7,1,0,1,0,0,0,0,1,1,2,1
4,4,2,3,4,2,0,0,0,0,0,0,0,0,0,0
