FOS10_ROS10,FOS10_ROS11,FOS10_ROS12,FOS10_ROS13,FOS10_ROS1,FOS10_ROS9,FOS1_ROS10,FOS1_ROS11,FOS1_ROS12,FOS1_ROS13,FOS1_ROS1,FOS1_ROS2,FOS1_ROS3,FOS1_ROS4,FOS1_ROS5,FOS1_ROS6,FOS1_ROS7,FOS1_ROS8,FOS1_ROS9,FOS2_ROS10,FOS2_ROS11,FOS2_ROS12,FOS2_ROS13,FOS2_ROS1,FOS2_ROS2,FOS2_ROS3,FOS2_ROS4,FOS2_ROS5,FOS2_ROS6,FOS2_ROS7,FOS2_ROS8,FOS2_ROS9,FOS3_ROS10,FOS3_ROS11,FOS3_ROS12,FOS3_ROS13,FOS3_ROS1,FOS3_ROS2,FOS3_ROS3,FOS3_ROS4,FOS3_ROS5,FOS3_ROS6,FOS3_ROS7,FOS3_ROS8,FOS3_ROS9,FOS4_ROS10,FOS4_ROS11,FOS4_ROS12,FOS4_ROS13,FOS4_ROS1,FOS4_ROS2,FOS4_ROS3,FOS4_ROS4,FOS4_ROS5,FOS4_ROS6,FOS4_ROS7,FOS4_ROS8,FOS4_ROS9,FOS5_ROS10,FOS5_ROS11,FOS5_ROS12,FOS5_ROS13,FOS5_ROS1,FOS5_ROS2,FOS5_ROS3,FOS5_ROS4,FOS5_ROS5,FOS5_ROS6,FOS5_ROS7,FOS5_ROS8,FOS5_ROS9,FOS6_ROS10,FOS6_ROS11,FOS6_ROS12,FOS6_ROS13,FOS6_ROS1,FOS6_ROS2,FOS6_ROS3,FOS6_ROS4,FOS6_ROS5,FOS6_ROS6,FOS6_ROS7,FOS6_ROS8,FOS6_ROS9,FOS7_ROS10,FOS7_ROS13,FOS7_ROS1,FOS7_ROS2,FOS7_ROS3,FOS7_ROS8,FOS8_ROS10,FOS8_ROS1,FOS8_ROS2,FOS8_ROS3,FOS8_ROS6,FOS8_ROS7,FOS8_ROS8,FOS9_ROS10,FOS9_ROS11,FOS9_ROS13,FOS9_ROS1,FOS9_ROS3,FOS9_ROS4,FOS9_ROS6,FOS9_ROS7,FOS9_ROS8,FOS9_ROS9
0,0,0,0,0,0,554,30,1,0,0,0,567,27,2,0,1,0,0,0,0,0,0,0,462,43,0,2,0,3,0,563,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,68,0,1,0,201,0,0,1,383,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,563,0,0,0,0,0,503,5,0,0,0,0,0,0,0,0,0,0,365,6,0,0,0,0,1,383,0,0,0,8,0,15,0,0,0,0,0,0,0,0,0,0,3,11,1,0,386,0,1,1,431,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,952,17,0,0,0,0,531,54,0,2,0,0,1,0,0,0,0,1,544,8,2,0,0,1,1,524,0,0,0,16,0,1,3,0,0,0,0,0,0,0,0,0,37,0,0,0,95,0,2,1,392,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,742,0,0,0,0,1,572,1,0,1,0,0,1,0,0,0,0,1,539,0,0,0,1,3,0,306,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,364,0,1,0,258,43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,543,3,0,0,0,0,500,4,0,1,0,0,0,0,0,0,0,0,424,7,0,0,0,1,0,233,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,5,0,2,0,328,0,2,0,357,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,667,3,0,0,1,0,377,17,0,0,1,1,2,0,0,0,0,0,398,1,1,0,0,0,1,281,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,308,0,0,0,441,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,898,25,0,0,0,1,721,29,1,0,0,0,2,0,0,0,0,0,742,29,0,0,0,3,1,463,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,97,0,1,2,290,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2645,6681,33,7,0,10,1750,8857,2,29,37,7,7,157,1,1,24,3,5728,32171,232,28,6,20,22,4517,1,0,0,9,0,7,4,2,0,0,0,4,1,308,85,26,14631,1,5,18,6,0,3,965,8827,4256,0,0,0,5,93,1,6,1,0,0,14,112,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,941,6,0,0,0,0,575,27,0,0,0,0,0,0,0,0,0,0,736,60,0,0,0,1,1,701,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,8,0,1,1,251,0,0,1,453,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,805,0,0,0,0,0,536,1,0,0,0,1,3,0,0,0,0,1,438,19,0,0,0,0,2,226,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,336,0,0,0,331,42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
