date,time,evolution condition,replicate #,OD600(1:10 dil),coulter counter,mean size,mode,median size,colonies on 1st YPD plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),colonies on 2nd YPD plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),cell/mL from plating,colonies on 1st URA- plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),colonies on 2nd URA- plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),URA+ cells/mL,% URA+,transfer #,timepoint,volume transfered (mL),total URA- cells transfered,number of diploids,total colonies screened,% diploid,notes,notes,notes,wells with diploids,wells to exclude because of poor screen,wells with haploids,wells with possible haploids,generations,population
3/21/22,12:30 PM,2 day,2,0.839,2.26E+08,63.35,30.74,55.84,171,195,183000000,198,196,197000000,1.076502732,24,23,0.4,78800000,3,92,3.260869565,looked good under microscope,,,"B7,C5,D3",,,,,
3/21/22,1:00 PM,4 day,1,0.527,1.17E+08,76.91,26.98,64.62,120,,120000000,130,122,126000000,1.05,16,15,0.4,50400000,54,92,58.69565217,looked good under microscope,,,,,"A1,A2,A3,A4,A5,A7,A8,A12,B2,B3,B7,B10,C5,C6,C11,D3,D5,D12,E1,E2,E4,E6,E7,F3,F4,F5,F8,F9,F10,G3,G5,G7,G8,G10,G12,H1,H2,H6",,,
3/21/22,1:00 PM,4 day,2,0.574,9.92E+07,85.58,14.43,78.42,139,136,137500000,132,118,125000000,0.909090909,16,15,0.8,100000000,86,92,93.47826087,looked good under microscope,,,,,"B3,C1,D6,D11,F10,G5",,,
3/21/22,1:00 PM,4 day,3,0.564,9.15E+07,98.39,14.43,93.48,41,29,35000000,32,24,28000000,0.8,16,15,0.5,14000000,76,80,95,looked good under microscope,,,,,"D5,D6,F7.F12",,,
3/23/22,12:00 PM,2 day,1,0.701,2.25E+08,70.01,25.72,60.85,380,361,370500000,412,372,392000000,1.05802969,25,24,0.4,156800000,12,92,13.04347826,looked good under microscope,,,"A2,B1,B5,B8,C4,C11,D10,E4,E8,F3,F8,F12",,,,,
3/23/22,12:00 PM,2 day,2,0.706,2.13E+08,67.15,29.49,59.6,193,185,189000000,201,209,205000000,1.084656085,25,24,0.4,82000000,0,92,0,looked good under microscope,,,,,,,,
3/25/22,12:00 PM,2 day,1,0.819,2.92E+08,70.72,29.49,59.6,204,207,205500000,243,219,231000000,1.124087591,26,25,,0,16,92,17.39130435,looked good under microscope,populations was reitred,,"A2,A4,A5,A8,A10,A11,A12,B2,B8,C5,D4,D6,E8,E11,G8,H6",,,,,
3/25/22,12:00 PM,2 day,2,0.739,2.89E+08,65.21,29.49,58.35,170,184,177000000,179,211,195000000,1.101694915,26,25,,0,1,92,1.086956522,looked good under microscope,populations was reitred,,A4,,,,,
3/25/22,12:00 PM,10 day,1,0.604,1.66E+08,61.02,33.25,52.07,106,107,106500000,94,124,109000000,1.023474178,22,21,0.8,87200000,1,92,1.086956522,elongated cells observed in culture. possibly shmooing,,,G11,,,,,
3/25/22,12:00 PM,10 day,3,0.66,2.24E+08,43.38,15.68,34.51,15,14,14500000,16,9,12500000,0.862068966,22,21,1.2,15000000,25,43,58.13953488,looked good under microscope,,,,,"A1,A2,A4,A5,A8,A9,A10,A11,A12,B8,B11,B12,C1,C2,C4,D1,D2,D3",,,
3/25/22,1:00 PM,4 day,1,0.532,1.22E+08,78.87,25.72,65.87,69,66,67500000,84,71,77500000,1.148148148,17,16,0.4,31000000,62,92,67.39130435,looked good under microscope,,,,,"A5,A7,B4,B5,B7,B10,C1,C5,C10,D1,D8,D11,D12,E1,E3,E4,E11,E12,F1,F4,F8,F9,G1,G4,G6,G7,G8,G9,G10,H5",,,
3/25/22,1:00 PM,4 day,2,0.481,1.01E+08,87.31,28.23,79.68,52,60,56000000,73,72,72500000,1.294642857,17,16,0.4,29000000,79,92,85.86956522,looked good under microscope,,,,,"C3,C4,C5,C11,D2,E1,E2,E8,E11,F1,G5,G11,H2",,,
3/25/22,1:00 PM,4 day,3,0.504,9.64E+07,114.19,14.43,116.06,60,48,54000000,48,46,47000000,0.87037037,17,16,1,47000000,88,92,95.65217391,looked good under microscope,,,,,"A4,G2,G3,G8",,,
3/27/22,1:00 PM,8 day,3b,0.574,1.32E+08,109.43,15.68,97.24,49,47,48000000,35,36,35500000,0.739583333,24,23,1.2,42600000,72,92,78.26086957,looked good under microscope,,,,,"A6,A9,C5,C7,C9,C10,D4,D8,D9,D11,E3,E4,E6,E7,E10,F3,F4,F5,F9,G8",,,
3/29/22,12:15 PM,4 day,1,0.504,1.64E+08,81.85,15.68,68.38,66,82,74000000,69,55,62000000,0.837837838,18,17,0.6,37200000,61,92,66.30434783,looked good under microscope,,,,,"A3,A7,A10,A11,B7,B8,B12,C5,D2,D5,E1,E3,E6,E7,E10,E11,F1,F2,F3,F5,F7,F8,F11,F12,G4,G8,G10,G12,H1,H4,H7",,,
3/29/22,12:15 PM,4 day,2,0.452,1.16E+08,90.3,25.72,82.19,49,58,53500000,48,59,53500000,1,18,17,0.6,32100000,77,92,83.69565217,looked good under microscope,,,,,"A4,A5,A8,A9,A11,B2,B10,C2,C5,C9,D7,D9,E4,F10,G5",,,
3/29/22,12:15 PM,4 day,3,0.429,9.03E+07,108.92,14.43,108.54,53,45,49000000,50,42,46000000,0.93877551,18,17,0.9,41400000,86,92,93.47826087,looked good under microscope,,,,,"A8,B9,D8,D9,E1,F5",,,
4/2/22,12:30 PM,4 day,1,0.555,1.89E+08,83.19,15.68,70.89,120,109,114500000,133,126,129500000,1.131004367,19,18,0.7,90650000,65,92,70.65217391,looked good under microscope,,,,,"A5,A8,A11,A12,B3,B10,B12,C9,C12,D7,E1,E5,E7,E9,F3,F6,F8,F9,F11,G1,G2,G3,G4,G8,G10,H2,H5",,,
4/2/22,12:30 PM,4 day,2,0.449,1.12E+08,90.49,32,82.19,57,58,57500000,52,62,57000000,0.991304348,19,18,0.8,45600000,80,92,86.95652174,looked good under microscope,,,,,"A1,A4,B10,C1,C3,C9,E5,E6,E7,G6,G12,H5",,,
4/2/22,12:30 PM,4 day,3,0.433,1.00E+08,114.33,14.43,116.06,43,46,44500000,47,49,48000000,1.078651685,19,18,0.9,43200000,88,92,95.65217391,looked good under microscope,,,,,"A5,C12,E9,H3",,,
4/4/22,1:30 PM,10 day,1,0.761,2.32E+08,64.37,16.94,54.58,218,190,204000000,172,223,197500000,0.968137255,23,22,0.6,118500000,0,92,0,some elogated cells observed,,,,,,,,
4/4/22,1:30 PM,10 day,3,0.657,2.21E+08,44.71,16.94,34.51,19,17,18000000,19,28,23500000,1.305555556,23,22,1.2,28200000,74,76,97.36842105,looked good under microscope,,,,,"B4,C2",,,
4/4/22,1:30 PM,8 day,3b,0.707,1.11E+08,109.63,15.68,97.24,51,50,50500000,32,44,38000000,0.752475248,25,24,1,38000000,81,92,88.04347826,looked good under microscope,,,,,"A2,A4,A5,B9,C1,C10,D1,E6,H1,H3,H4",,,
4/6/22,1:00 PM,4 day,1,0.483,1.43E+08,85.35,34.51,72.15,87,71,79000000,74,70,72000000,0.911392405,20,19,0.6,43200000,63,92,68.47826087,looked good under microscope,,,,,"A5,A8,A9,B4,B7,C3,C5,C7,C8,C10,C12,D6,E2,E4,E5,E7,E10,F4,F5,G3,G6,G7,G8,G12,H2,H3,H4,H5,H7",,,
4/6/22,1:00 PM,4 day,2,0.399,9.39E+07,95.98,35.76,90.97,53,52,52500000,53,53,53000000,1.00952381,20,19,0.7,37100000,74,91,81.31868132,looked good under microscope,,,,,"A2,A6,A7,B4,C11,C12,D9,E2,E5,E12,F4,F12,G2,G4,G8,H2,H3",,,
4/6/22,1:00 PM,4 day,3,0.4,1.11E+08,112.18,14.43,112.3,14,34,24000000,25,28,26500000,1.104166667,20,19,0.8,21200000,73,82,89.02439024,looked good under microscope,,,,,"A10,C2,C4,C5,C6,D5,F1,G7,G8",,,
4/10/22,11:00 AM,4 day,1,0.565,1.49E+08,83.54,15.6,72.15,178,170,174000000,180,207,193500000,1.112068966,21,20,0.6,116100000,55,92,59.7826087,looked good under microscope,,,,,"A3,A4,A5,A6,A7,A8,A9,B1,B3,B5,B6,B12,C2,C3,C5,C6,C9,C11,C12,D1,D2,D3,E1,E3,E4,E5,F2,F3,F5,F6,F9,G3,G7,G10,G11,H1,H2,",,,
4/10/22,11:00 AM,4 day,2,0.456,1.05E+08,93.37,14.43,85.95,49,63,56000000,58,54,56000000,1,21,20,0.8,44800000,78,92,84.7826087,looked good under microscope,,,,,"A7,A8,A12,C12,D3,D9,D11,E11,F3,F7,F10,G2,H3,H6",,,
4/10/22,11:00 AM,4 day,3,0.431,9.62E+07,113.72,14.43,113.55,156,157,156500000,154,145,149500000,0.955271566,21,20,1.2,179400000,77,92,83.69565217,looked good under microscope,,,,,"A3,A8,B1,C9,C11,E2,E3,E7,E8,E10,E11,F5,G4,G5,G7",,,
4/12/22,1:15 PM,8 day,3b,0.578,1.25E+08,116.37,15.68,106.03,18,17,17500000,16,19,17500000,1,26,25,,0,61,65,93.84615385,looked good under microscope,population was retired,,,,"A12,A7,D5,E11",,,
4/14/22,12:00 PM,4 day,1,0.58,1.76E+08,85.4,15.68,73.4,72,59,65500000,73,73,73000000,1.114503817,22,21,0.4,29200000,57,92,61.95652174,looked good under microscope,,,,,"A3,A5,A10,B4,B5,B6,B9,C1,C2,C6,C7,C9,D4,D9,D11,D12,E1,E2,E3,E4,E5,E10,E12,F3,F5,F9,G1,G4,G6,G10,G11,H4,H6,H7,H8",,,
4/14/22,12:00 PM,4 day,2,0.48,1.30E+08,87.94,15.68,79.68,54,51,52500000,54,47,50500000,0.961904762,22,21,0.8,40400000,69,92,75,looked good under microscope,,,,,"A5,A11,B4,B5,B7,B8,B11,C9,C10,C11,D2,D5,D7,D8,D11,E6,E10,F5,F8,F12,G10,H2,H3",,,
4/14/22,12:00 PM,4 day,3,0.438,9.99E+07,100.86,14.43,95.99,37,38,37500000,29,46,37500000,1,22,21,0.5,18750000,48,68,70.58823529,looked good under microscope,,,,,"A3,A4,A5,A8,A10,A11,C4,C5,C6,C8,C9,C10,D3,D4,D8,E9,E10,E12,F5,F11",,,
4/14/22,1:00 PM,10 day,1,0.811,1.67E+08,60.54,39.52,50.82,88,87,87500000,83,91,87000000,0.994285714,24,23,0.5,43500000,2,92,2.173913043,looked good under microscope,,,"F5,F11",,,,,
4/14/22,1:00 PM,10 day,3,0.733,1.93E+08,39.86,15.68,30.74,85,64,74500000,86,76,81000000,1.087248322,24,23,1.2,97200000,82,92,89.13043478,looked good under microscope,,,,,"A3,A4,A10,B1,B9,C8,E1,E11,F1,G8",,,
4/18/22,1:00 PM,4 day,1,0.606,2.37E+08,94.26,15.68,78.42,160,175,167500000,176,298,237000000,1.414925373,23,22,0.6,142200000,60,92,65.2173913,looked good under microscope,,,,,"A5,A6,A7,A12,B3,B8,B9,B11,C1,C3,C7,C8,C11,D1,D2,D6,D8,D9,D11,E1,E5,E8,F1,F4,F9,F10,G1,G7,G11,G12,H1,H6",,,
4/18/22,1:00 PM,4 day,2,0.466,1.24E+08,91.91,15.68,83.44,63,53,58000000,67,63,65000000,1.120689655,23,22,0.7,45500000,85,92,92.39130435,looked good under microscope,,,,,"B4,B11,D9,E12,F11,G8,G12",,,
4/18/22,1:00 PM,4 day,3,0.432,1.20E+08,95.87,15.68,85.95,48,62,55000000,56,44,50000000,0.909090909,23,22,1,50000000,69,92,75,looked good under microscope,,,,,"A2,A6,A12,B4,B6,B8,B9,B10,B12,C2,C4,C7,C8,C10,D5,D10,E9,F2,F6,G5,G6,G11,G12",,,
4/22/22,12:00 PM,4 day,1,0.584,1.55E+08,82.87,15.68,68.38,89,85,87000000,98,76,87000000,1,24,23,0.7,60900000,42,92,45.65217391,looked good under microscope,,,"A1,A4,A5,A7,A11,B1,B4,B11,B12,C1,C2,C3,C4,C5,C8,C9,C10,C11,C12,D1,D3,D9,D11,E1,E7,E8,E10,E12,F1,F4,F5,F6,F9,G2,G5,G7,G9,H1,H3,H4,H5,H8",,,,,
4/22/22,12:00 PM,4 day,2,0.477,1.31E+08,100.73,15.68,95.99,114,90,102000000,115,99,107000000,1.049019608,24,23,0.7,74900000,78,92,84.7826087,looked good under microscope,,,,,"A1,A6,A11,B4,B9,C1,C8,C11,C12,F1,F8,G4,H3,H7",,,
4/22/22,12:00 PM,4 day,3,0.437,9.64E+07,100.06,14.43,93.48,28,24,26000000,25,23,24000000,0.923076923,24,23,0.7,16800000,69,73,94.52054795,looked good under microscope,,,,,"C9,D6,F3,F4",,,
4/24/22,1:30 PM,10 day,1,0.747,2.73E+08,65.67,18.19,54.58,77,85,81000000,75,93,84000000,1.037037037,25,24,0.6,50400000,1,91,1.098901099,looked good under microscope,,,C6,,,,,
4/24/22,1:30 PM,10 day,3,0.669,2.20E+08,45.08,16.94,34.51,12,10,11000000,20,13,16500000,1.5,25,24,0.6,9900000,42,49,85.71428571,looked good under microscope,,,,,"A1,A4,A7,A12,B6,C10,D4",,,
4/26//22,11:00 AM,4 day,1,0.671,1.49E+08,78.94,28.23,64.62,99,77,88000000,96,92,94000000,1.068181818,25,24,0.6,56400000,37,92,40.2173913,looked good under microscope,,,"A1,A6,A10,A12,B12,C2,C4,C6,C9,D1,D5,D7,D8,D9,D12,E2,E3,E4,E6,E8,E9,E10,E11,F1,F3,F5,F6,F7,G1,G8,G9,G10,H1,H4,H5,H7,H8",,,,,
4/26//22,11:00 AM,4 day,2,0.477,9.78E+07,95.32,29.49,90.97,49,45,47000000,63,59,61000000,1.29787234,25,24,0.6,36600000,74,92,80.43478261,looked good under microscope,,,,,"A5,A10,C5,C6,D4,D7,D9,D12,E4,E8,F4,F11,G2,G11,G12,H6,H7,H8",,,
4/26//22,11:00 AM,4 day,3,0.471,8.86E+07,106.94,14.43,107.28,25,21,23000000,28,23,25500000,1.108695652,25,24,1,25500000,92,92,100,looked good but many cells were dead and spilling guts,,,,,,,,
4/30/22,1:30 PM,4 day,1,0.558,1.73E+08,86.17,34.51,72.15,134,114,124000000,127,130,128500000,1.036290323,26,25,,0,45,92,48.91304348,looked good under microscope,population was retired,,"A1,A2,A3,A4,A5,A10,A11,B1,B3,B4,B6,B11,B12,C1,C2,C3,C5,C6,C7,C8,C9,C12,D5,D8,E1,E2,E3,E5,E12,F4,F6,F7,F8,F9,F11,F12,G2,G5,G6,G8,G9,G10,G12,H2,H5",,,,,
4/30/22,1:30 PM,4 day,2,0.483,1.04E+08,100.5,89.71,95.99,165,153,159000000,160,158,159000000,1,26,25,,0,82,92,89.13043478,looked good under microscope,population was retired,,,,"A3,A7,B8,D5,D8,E4,F3,F7,G10,G11",,,
4/30/22,1:30 PM,4 day,3,0.43,1.05E+08,109.81,14.43,109.79,47,63,55000000,41,62,51500000,0.936363636,26,25,,0,92,92,100,looked good under microscope,population was retired,,,,,,,
5/4/22,1:30 PM,10 day,1,0.736,1.79E+08,60.66,35.76,52.07,64,94,79000000,93,83,88000000,1.113924051,26,25,,0,,,#DIV/0!,looked good under microscope,population was retired,,,,,,,
5/4/22,1:30 PM,10 day,3,0.728,1.85E+08,43.39,15.68,33.25,19,17,18000000,16,20,18000000,1,26,25,,0,,,#DIV/0!,looked good under microscope,population was retired,,,,,,,
,,,,,,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,,,,,,,,,
,,,,,,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,,,,,,,,,
,,,,,,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,,,,,,,,,
,,,,,,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,,,,,,,,,
,,,,,,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,,,,,,,,,
,,,,,,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,,,,,,,,,
,,,,,,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
