date,time,evolution condition,replicate #,OD600(1:10 dil),coulter counter,mean size,mode,median size,colonies on 1st YPD plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),colonies on 2nd YPD plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),cell/mL from plating,colonies on 1st URA- plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),colonies on 2nd URA- plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),URA+ cells/mL,% URA+,transfer #,timepoint,volume transfered (mL),total URA- cells transfered,number of diploids,total colonies screened,% diploid,notes,notes,notes,wells with diploids,wells to exclude because of poor screen,wells with haploids,wells with possible haploids,generations,population
11/4/21,1:30 PM,8 day,3b,0.529,1.02E+08,90.85,90.97,83.44,32,39,35500000,40,26,33000000,0.929577465,9,8,2,66000000,6?,92,#VALUE!,looked good under microscope,,,"A12,F3,F10,G10,H5,H8",,,,64,
11/6/21,2:00 PM,6 day,1,0.58,1.97E+08,59.15,16.94,45.8,136,97,116500000,122,95,108500000,0.931330472,8,7,0.4,43400000,11,92,11.95652174,looked good under microscope,,,"A1,A2,A6,A8,B7,C5,C7,D4,D7,E12,H1,",,,,56,
11/6/21,2:00 PM,6 day,2,0.474,1.36E+08,75.4,15.68,50.82,58,43,50500000,47,53,50000000,0.99009901,8,7,0.6,30000000,39,92,42.39130435,looked good under microscope,,,"A1,A4,A8,A9,B1,B4,B8,C1,C3,C4,C5,C7,C9,C12,D4,D7,D9,D10,D11,E1,E4,E5,E11,F4,F7,F10,F12,G2,G6,G7,G8,G10,G11,G12,H1,H2,H5,H6,H8",,,,56,
11/6/21,2:00 PM,6 day,3,0.497,1.59E+08,63.92,16.94,48.31,40,51,45500000,54,53,53500000,1.175824176,8,7,0.5,26750000,23,92,25,looked good under microscope,,,"A1,A2,A3,A5,A7,B12,C2,C3,C4,C5,C6,C12,D6,D9,E2,E4,E7,E8,E12,F1,G9,H5,H6",,,,56,
11/12/21,9:05 AM,10 day,1,0.598,2.00E+08,40.09,15.68,33.25,59,63,61000000,69,47,58000000,0.950819672,10,9,0.8,46400000,,,#DIV/0!,looked good under microscope,smaller cells,growth in blank/plates may contain contamination,,,,,72,
11/12/21,9:05 AM,10 day,2,0.559,1.69E+08,89.74,53.33,77.17,66,79,72500000,74,68,71000000,0.979310345,10,9,0.7,49700000,,,#DIV/0!,looked good under microscope,,growth in blank/plates may contain contamination,,,,,72,
11/12/21,9:05 AM,10 day,3,0.509,1.49E+08,53.36,38.27,44.54,88,77,82500000,90,83,86500000,1.048484848,10,9,0.6,51900000,,,#DIV/0!,looked good under microscope,smaller cells,growth in blank/plates may contain contamination,,,,,72,
11/12/21,10:50 AM,8 day,2,0.487,1.18E+08,81.09,68.38,73.4,69,75,72000000,81,71,76000000,1.055555556,10,9,1,76000000,2,92,2.173913043,looked good under microscope,,,"B2,C4",,,,,
11/12/21,10:50 AM,8 day,3,0.523,1.86E+08,73.68,47.05,60.85,33,16,24500000,22,14,18000000,0.734693878,10,9,1,18000000,28,48,58.33333333,looked good under microscope,,,,,"A3,A4,A5,A6,A9.B1,B5,B6,B8,C2,C3,C10,C11,D2,D4,D6,D8,D9",,,
11/12/21,10:50 AM,8 day,3b,0.525,1.34E+08,75.01,50.82,63.36,18,11,14500000,8,8,8000000,0.551724138,10,9,1,8000000,13,44,29.54545455,looked good under microscope,,,"E1,E2,F1,F4,F10,G1,G3,G9,G11,G12,H1,H2,H3",,,,,
