14,4,52,149,34,0,0,0,0
6,1,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
19,7,0,6,1,1,0,0,0
14,3,5,1,0,0,0,0,0
4,1,0,0,0,0,0,0,0
17,7,11,8,5,1,0,0,0
41,18,12,3,1,0,0,0,0
90,17,12,10,1,0,0,0,0
3,2,1,1,0,0,0,0,0
86,27,22,9,1,1,0,0,0
5,1,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0
16,6,2,1,0,0,0,0,0
17,1,2,1,0,0,0,0,0
5,1,3,1,0,0,0,0,0
5,1,2,1,0,0,0,0,0
5,5,1,1,0,0,0,0,0
4,1,0,0,0,0,0,0,0
9,2,1,1,0,0,0,0,0
2,0,4,2,1,1,0,0,0
228,170,115,353,131,74,20,65,0
14,3,4,2,0,0,0,0,0
9,2,3,7,1,2,0,0,0
249,160,137,409,154,66,14,67,0
16,5,6,1,0,0,0,0,0
24,8,4,1,0,0,0,0,0
37,14,6,1,0,0,0,0,0
5,1,1,1,0,0,0,0,0
81,29,10,6,1,1,0,0,0
11,3,3,1,0,0,0,0,0
10,2,1,1,0,0,0,0,0
18,6,9,4,1,1,0,0,0
5,1,0,0,0,0,0,0,0
10,5,3,1,0,0,0,0,0
17,4,1,2,1,1,0,0,0
19,4,3,1,0,0,0,0,0
4,3,3,1,0,0,0,0,0
9,3,2,1,0,0,0,0,0
2,1,1,1,0,0,0,0,0
24,1,6,1,0,0,0,0,0
2,4,1,0,0,0,0,0,0
2,1,1,1,1,1,0,0,0
5,1,1,1,1,1,0,0,0
4,0,1,3,1,1,0,0,0
9,5,2,1,0,0,0,0,0
12,5,3,1,1,1,0,0,0
38,14,11,1,0,0,0,0,0
291,83,22,7,3,1,1,1,0
198,46,76,30,0,0,0,0,0
9,4,1,1,0,0,0,0,0
5,1,1,1,1,0,0,0,0
9,2,1,1,0,0,0,0,0
5,1,0,0,0,0,0,0,0
0,0,0,1,3,1,0,0,0
13,2,2,1,0,0,0,0,0
6,1,1,1,0,0,0,0,0
10,0,4,2,0,0,0,0,0
15,1,4,1,0,0,0,0,0
0,0,0,0,0,5,0,0,0
209,133,110,362,98,52,17,75,0
10,0,0,0,0,0,0,0,0
4,1,2,1,0,0,0,0,0
0,0,0,0,0,7,0,0,0
2,2,2,1,1,1,0,0,0
9,1,0,0,0,0,0,0,0
11,1,1,1,0,0,0,0,0
470,126,103,46,1,1,0,0,0
