3987,4887,5436,6133,16577,31541,65651,87852,72798,60953,34757,17121,8507,7194,7430
1,1,1,1,1,14,311,657,585,2105,3300,7025,7352,9586,8152
712,559,895,1048,2999,6707,13945,19796,19693,14546,11456,12158,9498,7548,8739
363,323,417,1107,4389,11094,35601,59374,71522,49039,31234,20254,12952,10951,9011
15,58,20,29,1,1,11,1,13928,8131,11123,9677,8137,11872,11370
712,971,1191,2826,59363,222799,884174,963033,1065597,636501,344934,122534,42777,15806,10484
4114,3591,4988,7881,98613,395442,1711895,1905483,1842782,1480763,778884,269883,73006,21990,10770
1,29,1,1,189,694,3825,7723,6753,15404,18113,9460,10871,15097,12747
2705,2855,3034,6366,96150,372868,1422766,1575241,1424428,1164569,567568,167122,41416,18269,13033
1,1,1,1,1,1,143,543,1189,4367,9680,9739,11579,13750,12992
79,117,610,1704,30218,79067,242052,378816,351234,313678,159970,64376,23344,16727,13728
15,1,1,72,31,1,1,1,1,1,1,1,1,1,1
632,853,743,1019,2336,5584,11475,16177,16288,13493,12149,13415,12145,14672,13469
759,1059,926,947,915,738,287,143,28,38,27,1,1,1,1
47,1,40,43,1,1,35,14,19281,11211,15145,13275,12483,20059,17450
174,29,111,276,378,694,647,429,153,97,27,1,1,1,1
6234,5799,5945,8013,101076,378585,1785100,1935950,1459883,1168527,603934,190974,63072,18269,14546
158,88,71,145,473,1093,4832,9640,13650,14994,18002,20502,18126,15009,15092
759,912,1170,1092,1199,1300,803,1287,2302,7682,12704,17757,18224,18677,16237
2927,2708,3970,4283,8525,15822,33263,45385,40030,37008,29125,27295,19825,16905,16564
2690,3326,3431,3729,3220,3235,1798,1659,3386,7468,14979,19385,17004,16302,16755
237,294,386,728,789,1388,995,772,1774,3958,8599,12546,14030,16515,16564
1,1,1,1,1,1,1,1,1,1,22218,25511,18562,21742,20286
4193,3945,3960,4152,22671,131853,571339,1594608,1933346,2832619,1598905,457244,94139,17755,18132
1,1,1,1,1,1,1,1,1,1,23051,26907,1,21388,21213
1,1,1,1,1,1,1,1,1,1,1,2434,6786,1,5562
1,1,1,1,1,1,2686,4662,1659,3977,1,1,1,1,10879
1,1,1,1,1389,1,1,1,1,1,1,1,7581,1,4267
1,1,1,1,1,1,1,2846,278,2905,1,5350,2113,1,1813
174,382,417,597,4420,8657,18214,26204,32010,24198,22329,20440,22603,20059,19563
1,1,1,1,1,1,1,1,1,1,1,22782,1,1,23790
1,1,1,1,1,14,383,2202,4268,11270,19472,19168,23627,25180,21568
158,29,91,233,694,1935,1115,1058,2877,6356,10624,16951,20348,21937,21104
1,1,1,1,1,1,1,1,1,1,1,32739,30098,27555,26067
110,353,376,611,1199,1610,1103,1215,2484,6980,14452,18579,19161,22309,22876
1,1,1,1,1,1,1,1,1,1,27350,32692,1,1,26107
237,147,641,2651,78688,304245,1268572,1410392,1716169,1135906,606985,229995,76960,28281,24840
1,1,1,14,63,103,647,1759,3012,9086,19001,15183,21176,29203,25889
981,1001,1374,1369,6820,11951,29378,38276,34389,31276,26046,24193,22952,27643,26230
6092,5063,8084,18692,378886,1475650,6227305,7003503,6599192,5033202,2617399,927548,236558,65299,27457
506,500,641,582,2684,5392,12710,19023,25698,27610,35117,39206,38943,32569,26871
