770,363,277,78,1,1,1,1,1
6208,5454,4340,2420,1,1,1,1,1
730,606,277,156,1,1,1,1,1
202,1,184,78,133,249,1,1,1
405,121,184,78,1,1,1,1,1
284,363,369,156,1,1,1,1,1
405,242,92,78,1,1,1,1,1
486,242,277,78,1,1,1,1,1
1054,969,738,780,133,249,1,1,1
202,121,1,1,1,1,1,1,1
162,242,184,1,1,1,1,1,1
2191,2424,923,312,266,249,1,1,1
284,121,277,78,1,1,1,1,1
649,363,461,156,1,1,1,1,1
162,121,184,78,1,1,1,1,1
1136,727,277,156,133,1,1,1,1
7871,7151,3878,2186,1,1,1,1,1
730,1090,184,78,1,1,1,1,1
1623,1212,184,78,1,1,1,1,1
284,242,92,1,1,1,1,1,1
162,242,184,78,1,1,1,1,1
162,121,92,234,133,249,1,1,1
9454,8848,6463,2498,1,1,1,1,1
2515,1575,2123,468,133,249,1,1,1
162,121,1,1,1,1,1,1,1
3570,4242,2031,2108,1,1,1,1,1
365,121,369,78,1,1,1,1,1
81,121,92,78,1,1,1,1,1
2069,969,369,234,266,249,1,1,1
284,242,184,78,1,1,1,1,1
81,242,184,78,1,1,1,1,1
18868,16120,7110,3045,399,249,1,1,1
202,121,1,1,1,1,1,1,1
446,121,277,156,1,1,1,1,1
284,242,184,78,1,1,1,1,1
973,363,461,78,133,249,1,1,1
1095,1939,16159,10384,4530,1,1,1,1
243,1,369,78,1,1,1,1,1
405,242,184,156,133,249,1,1,1
202,121,184,78,1,1,1,1,1
568,848,184,78,1,1,1,1,1
202,121,1,1,1,1,1,1,1
11118,9332,4986,2342,1,1,1,1,1
405,242,1,1,1,1,1,1,1
1541,1090,1015,234,133,249,1,1,1
121,121,184,78,1,1,1,1,1
121,606,184,156,266,249,1,1,1
162,1,184,234,399,249,1,1,1
202,121,184,78,1,1,1,1,1
365,606,92,78,1,1,1,1,1
365,121,184,78,1,1,1,1,1
527,1333,369,78,1,1,1,1,1
568,363,3416,1795,666,249,1,1,1
202,848,277,78,1,1,1,1,1
81,121,92,78,1,1,1,1,1
121,242,92,78,133,249,1,1,1
284,121,184,156,1,1,1,1,1
162,121,1,1,1,1,1,1,1
649,727,461,78,1,1,1,1,1
1785,1454,923,702,133,249,1,1,1
162,363,369,156,1,1,1,1,1
202,242,184,78,1,1,1,1,1
1014,727,4709,2889,133,249,1,1,1
527,727,738,78,1,1,1,1,1
1257,242,369,78,1,1,1,1,1
162,121,738,156,1,1,1,1,1
324,242,92,78,1,1,1,1,1
730,727,738,234,133,249,1,1,1
527,484,184,78,1,1,1,1,1
730,242,461,78,1,1,1,1,1
324,363,92,390,133,249,1,1,1
