67254,36874,44557,38302,47145,48142,36618,37275,15584,17132,9067,5559,4677,1766
1,1,1,1823,4159,1266,1,1,4250,1772,1511,694,2708,1298
1,1,1,1,2773,1266,2441,2570,1416,3544,3022,694,1969,1298
20871,24583,41374,31007,19412,13936,24412,16709,8500,9452,12090,4864,2215,1558
4638,1,1,1,5546,5067,4882,5141,5667,5317,3022,1389,1723,1039
2319,4097,6365,5471,1,3800,1,2570,2833,590,1,1,1,1
1,1,1,1823,1,1266,1,1,2833,1181,1511,3474,3692,1402
2319,4097,6365,7295,15252,11402,14647,11568,9917,7680,6045,4169,3200,1558
23191,20485,60471,18239,18026,17736,24412,12853,11334,11815,10579,3474,2954,1558
1,1,3182,1,1,1266,2441,1285,2833,3544,6045,2084,2708,1298
2319,1,3182,5471,5546,1,1,3856,1,1181,1511,2084,984,1195
1,1,1,1823,2773,1,1,3856,1416,1772,1,1389,1230,1298
2319,1,3182,1823,5546,1266,1,1,1,1,1,1389,1230,1454
1,1,1,3647,1386,3800,2441,1285,1416,1,1,1,1,1
32467,24583,35009,29183,36052,21537,24412,23136,15584,9452,12090,4169,1969,1454
1,1,1,1,1386,1,1,1,1416,1181,1,694,984,1454
1,1,1,1,1,1,1,1,1,590,3022,1,1230,1298
13914,20485,19096,18239,11093,6334,17088,6426,11334,3544,4533,3474,1969,1506
4638,4097,1,1823,4159,2533,7323,2570,5667,2953,3022,3474,1230,1350
1,1,3182,3647,1386,2533,2441,1285,1,1,1,1,1,1
11595,12291,9548,1823,1,6334,2441,1285,5667,2363,3022,2779,1969,1558
1,4097,1,1823,4159,3800,4882,1285,1,590,4533,3474,492,1143
2319,4097,3182,1823,1386,1,1,1,1,1,1,1,1,1
9276,8194,3182,5471,1386,1266,1,1285,1416,590,3022,694,1,1
4638,1,3182,3647,1386,3800,2441,1285,4250,2363,3022,2779,738,51
1,4097,3182,1823,1386,1266,1,1,1416,3544,3022,694,738,1246
1,4097,9548,3647,2773,6334,7323,1285,4250,3544,4533,2779,1230,1298
1,1,3182,1823,1386,2533,1,1,1,2363,1511,4169,2215,1402
2319,1,1,7295,1,1266,2441,2570,1416,1,1,1,1,1
6957,1,3182,3647,1386,1,4882,2570,2833,1181,1511,1389,1230,1350
1,1,3182,1,1386,1,1,1285,2833,1,1,2084,2215,1454
9276,4097,9548,5471,2773,7601,4882,11568,11334,7680,1511,1389,2708,1454
2319,1,6365,3647,1386,1266,1,1,1,1,1,1,1,1
1,1,1,1,1386,1,1,1285,1,590,1,694,984,1454
1,4097,1,3647,2773,2533,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,590,1511,694,738,1506
57977,53263,82749,67486,79038,79815,65913,74550,48169,34856,31737,17372,5662,1870
11595,36874,19096,20063,33279,17736,19529,19280,29751,11224,4533,8338,2708,1558
1,1,3182,1823,2773,5067,12206,15424,8500,7089,3022,2084,2461,1402
1,1,1,1,1,1,1,1,1416,1181,1511,2084,2215,1350
1,4097,1,1823,1,1,1,1,1,2363,1,1,738,1195
2319,8194,6365,12767,15252,16469,12206,16709,17001,14178,13601,6948,3939,1454
2319,4097,3182,1,4159,2533,7323,14138,17001,7680,13601,1389,2954,1298
1,1,3182,1,2773,2533,1,1,1,1772,1511,1389,492,1246
1,1,1,1,1,1,1,1285,1416,1,1511,2084,2215,1350
1,1,3182,1,1,1,2441,1,1416,2363,1,2084,1477,1195
18552,24583,6365,16415,20799,21537,17088,30848,25501,24813,12090,6948,3446,1506
1,1,3182,1823,1386,1266,1,1285,1416,1772,3022,4169,1477,1506
6957,1,3182,5471,1386,1266,1,1285,2833,4135,3022,694,492,1558
1,4097,3182,3647,5546,1266,1,1,1,1,1,1,1,1
6957,4097,9548,1,4159,2533,4882,12853,8500,14178,4533,4864,4677,1506
2319,4097,3182,1,2773,2533,2441,1,1416,1181,1511,694,1,1
1,1,1,1823,1386,2533,2441,1,1,1,1,1,1,1
2319,4097,3182,1,6933,11402,4882,5141,1416,2953,6045,2084,984,1610
1,4097,1,1,1386,1,1,1,1,590,3022,1389,2461,1195
1,1,1,1,1,7601,1,1285,4250,1181,4533,2779,1230,1402
4638,1,1,1,1386,3800,1,3856,1,590,1511,2084,1969,1402
13914,16388,6365,9119,13866,12669,19529,10282,9917,6498,1511,2084,738,1714
1,4097,1,3647,1386,1266,2441,1285,2833,590,1511,694,1,1
1,1,1,1823,1386,1,2441,5141,4250,4135,1511,2779,1477,1402
1,1,1,1823,1,2533,1,1285,1,590,1511,1,984,1506
2319,1,1,1823,2773,1,1,1285,1416,1772,3022,2084,1230,1506
1,1,3182,1,1,1266,2441,1285,2833,1181,3022,1,984,1195
1,1,1,1,1,2533,1,1,1,1772,4533,3474,2215,1298
2319,4097,1,1,1,1,1,1,5667,3544,3022,4169,1969,1350
44063,53263,25461,32831,20799,29139,39059,32133,8500,10043,15113,6948,3692,1298
1,1,1,1,1,1,1,1,1416,1772,1,694,3446,1350
2319,1,1,1,1,1266,1,2570,1,590,3022,694,738,1091
4638,1,1,1823,1386,1266,4882,1285,1416,590,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1389,738,1298
1,1,1,1,1386,1,2441,1,1,1,1511,2084,1477,1402
2319,4097,1,1,1386,3800,1,1285,2833,1181,1511,2084,3446,1714
1,8194,3182,1823,1,1266,1,1285,1,1181,3022,694,1230,1454
1,1,1,1,1386,1,1,1285,1416,1181,1511,1,1,1
18552,8194,6365,7295,13866,19003,14647,11568,12750,6498,6045,6948,1969,1506
4638,1,1,3647,2773,3800,2441,1,1416,2363,3022,1,1,1
2319,1,3182,1,1,3800,1,2570,1416,1181,1,2084,2954,1766
