197109,1,534759,1,90395,132978,69013,1,1,1,1,1,1,1,1,1,1
25270,196463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45486,1,1,1,22598,1,69013,143884,32034,1,1,1,1,1,1,1,1
141514,1,1,1,361581,265957,276052,719424,213561,1,1,1,1,1,1,1,1
30324,1,1,1,22598,132978,138026,1,64068,1,1,1,1,1,1,1,1
20216,196463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40432,196463,534759,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70757,1,1,1,90395,265957,1,143884,96102,1,1,1,1,1,1,1,1
495299,1,534759,375939,203389,265957,138026,143884,21356,1,1,1,1,1,1,1,1
5054,1,1,1,22598,132978,69013,1,64068,1,1,1,1,1,1,1,1
55594,1,1,1,22598,1,1,1,53390,1,1,1,1,1,1,1,1
25270,1,1,1,67796,1,69013,143884,74746,1,1,1,1,1,1,1,1
10108,1,1,375939,1,1,1,1,53390,1,1,1,1,1,1,1,1
50540,1,1,1,1,1,1,143884,53390,1,1,1,1,1,1,1,1
10108,1,1,1,22598,132978,1,1,53390,1,1,1,1,1,1,1,1
50540,1,1,1,1,1,69013,287769,53390,1,1,1,1,1,1,1,1
25270,196463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2981906,1,534759,1879699,1785310,1728723,483091,143884,170848,1,1,1,1,1,1,1,1
80865,1,1,1,135593,1,69013,1,85424,1,1,1,1,1,1,1,1
409380,1,1,1503759,293785,265957,276052,1,74746,1,1,1,1,1,1,1,1
40432,1,1,1,22598,1,69013,143884,32034,1,1,1,1,1,1,1,1
96027,1,1,1,180790,398936,276052,431654,85424,1,1,1,1,1,1,1,1
1298898,196463,1,1,768361,398936,1,143884,85424,1,1,1,1,1,1,1,1
20216,1,1,1,1,1,1,1,53390,1,1,1,1,1,1,1,1
293136,1,1,375939,90395,1,1,287769,42712,1,1,1,1,1,1,1,1
